sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note
Bac7	0.380276183390711	0.0012917546955386	0.0151155457051577	375.870888595377	45.856576671488	952.175057002545	960.55	0.0586042778674095	
Bac89.2	0.334720679983746	0.000464270840569398	0.00455580218191259	1444.13548190075	152.146022343084	480.617460599991	492.4075	0.0108857804484989	
Bac81	0.333456942758666	0.00121632218874059	0.0044202075384596	1269.17745649955	156.813266012731	536.925262202753	540.25	0.00750235364405147	
Bac9	0.326003675595944	0.00118897798593857	0.0155740191530881	360.225623239092	44.5066346552235	821.379225254891	829.615	0.0433894371196968	
Bac81.1	0.323142957174323	0.00103661372977816	0.00436113402393376	1315.92433228923	158.93737196701	505.262716588922	507.8275	0.00662131937846307	
WT	0.321056392415269	0.00116154260991464	0.0157994484229273	355.597438546084	43.8716062741842	810.401928181547	818.6575	0.0433786109606754	
Bac7.1	0.319987829835175	0.000328075104634481	0.0108476129665342	634.404076192058	63.8985906575357	718.533106841403	728.5525	0.0403199945745165	
Bac74.1	0.319362521295422	0.00222357148371181	0.00579270988914418	856.287544277147	119.658535266704	645.913159777563	653.8	0.0295232396390599	
Bac89.1	0.312552520219442	0.000538806516260223	0.00443412121141796	1434.65764200005	156.32120718195	451.739773895955	452.8375	0.00210164641077341	
X1PL.2	0.31250155669487	9.32591234516682e-05	0.007126537117201	1138.93806086693	97.2628317457195	544.071657359427	551.215	0.0151778178214477	
Healthy	0.312150321302977	0.000679401086046329	0.0173319151770821	353.558711887382	39.9925324742237	788.590217913251	796.4875	0.0527555134074055	
Bac74.2	0.309715727543004	0.000944072526030946	0.00635456045135625	911.180931376432	109.078698025763	609.625616857459	620.5075	0.0287476513091278	
Bac81.2	0.305511257049313	0.000648795397177024	0.00587244606654407	1047.68924743627	118.033809541287	559.682066969627	563.2225	0.0107598506114119	
Bac74	0.305400755527593	0.000530573452691339	0.00718697563263907	884.055164422044	96.4449047819327	609.489197294175	616.8025	0.0300325285639949	
Bac88	0.303903803455584	0.00068383826408435	0.0121077922792541	503.352899077771	57.2480237993188	722.215550615338	731.02	0.0413789493688205	
X1PL.1	0.302788552670441	0.00020183404652471	0.00559157823237225	1307.80203311578	123.962708157599	476.01567371654	483.6475	0.0150076518741017	
Bac88.2	0.296715448566703	0.00222369538763504	0.00978359724194101	499.415550136285	70.8478858459661	706.12803880832	712.615	0.04014166659994	
X1PL	0.296194146388311	3.17718569030928e-06	0.0102419954899672	1117.23969228572	67.6769660012967	522.118974834585	535.915	0.0156723676821311	
Bac7.2	0.29383648381778	0.00908053073972507	0.00585224434670993	588.748463307295	118.441257660341	671.677257286456	673.84	0.0311679069534813	
Bac77.2	0.290244696896643	0.00756314783571314	0.00453490777402869	798.480077707554	152.847029112606	602.465331838831	607.3975	0.0173330793251886	
Bac77	0.283381397858305	0.00129337332225536	0.00625640574883954	860.71230006404	110.789998025386	572.021517737742	581.17	0.0166417451433186	
Bac77.1	0.281516108634456	0.0014851781541305	0.00598177296708358	875.88836248554	115.876544358033	563.9410608916	571.87	0.0154289840815353	
Bac88.1	0.264162565667398	0.00307049386717429	0.00790582341257103	561.995185235391	87.6755202320575	611.939440873924	617.8375	0.0320686419961153	
Bac9.2	0.263864528876073	0.000382685771259979	0.0138208194858077	472.80304419111	50.1523937326383	635.146181479041	643.705	0.0489859080489467	
Bac18	0.263047387619952	0.0026773959776568	0.0121361739136057	377.158322282834	57.1141436744631	658.144221676662	661.5325	0.0443616344669074	
Bac18.1	0.2620836373462	0.00171486860652181	0.01206564108977	416.286417492956	57.4480191647372	645.556421794207	651.475	0.0469067660551737	
X2PL	0.261068396709611	0.000538725435688253	0.0118778455352858	520.40296122741	58.3563053165489	615.970813447996	625.5775	0.0416192543200171	
Bac41.1	0.256135940843154	0.00728612302763377	0.00738587010510571	478.058500762207	93.8477350259363	614.222748594363	619.3825	0.040900847637575	
Bac9.1	0.255283910550746	6.20136411320523e-05	0.0178269979624295	466.850014127198	38.8818791599548	616.034886080264	622.5175	0.0480754052109094	
Bac79.1	0.253983613959068	0.00424217898154986	0.00838727218829273	485.896842630785	82.642743075331	607.552912831163	612.9475	0.0345364368864886	
WT.2	0.252141113374908	0.00179092633554625	0.0109561879955129	450.898405177598	63.2653602552111	612.31233478727	620.035	0.0407158286476862	
Bac92.2	0.250178332933448	0.0045085350056932	0.0090752568705079	440.540266590411	76.377692714405	609.798644212986	614.125	0.0411865151215666	
Bac92	0.247635692641678	0.00579431474745787	0.0084830903524987	439.863855278828	81.709277133395	603.573643466944	607.1125	0.0407961734105462	
Bac83.1	0.246286908598305	0.0016379137456515	0.0083855257549324	597.028895959018	82.6599548814496	562.06991705961	569.7475	0.0294371057514339	
Bac18.2	0.246038093187067	0.012475935257429	0.00802558222652287	365.038516909406	86.3672143647396	617.181008931168	619.1125	0.0419456858126722	
Bac41	0.243975812195372	0.00373078583340333	0.00769421005621085	541.321386421492	90.0868543354141	570.09238691797	576.3775	0.0443340377576291	
Bac73.2	0.243214792123255	0.00467033419064415	0.00736551474205668	534.019034221417	94.1070929642043	569.937025735814	574.735	0.0336944399671624	
WT.1	0.242032593835381	0.000922120122357015	0.0115090885979418	483.646898501022	60.2260704365334	579.915282848124	586.7725	0.0409966917719486	
Bac41.2	0.241979528411191	0.00743265237608182	0.00727147185263658	474.700687655054	95.3241922140723	580.995000481929	584.38	0.0397658977864495	
X2PL.1	0.241416332719387	0.00238601358793429	0.00842033609060613	547.123812408994	82.318232087343	562.909641165186	570.13	0.0393757207557723	
Healthy.2	0.241383598430155	0.00052622464392061	0.0130643581262867	468.927134941274	53.0563517824322	581.953120865524	589.435	0.045099270869301	
Bac83.2	0.24132968305864	0.00332584556312624	0.00751279169502685	568.438873903781	92.2622653066209	557.402545076327	562.0375	0.0274744263416185	
Bac83	0.240613527356195	0.00160544295864737	0.00826549094380275	605.299516520666	83.8603762647213	547.12882179319	555.235	0.0302565763169669	
Healthy.1	0.24044399368399	0.000481916308774747	0.0132396739794486	469.079957921589	52.3537952396631	579.654807435079	586.5925	0.0452053420841827	
Bac73.1	0.240141323676847	0.00170536858405355	0.00851376576011235	580.27430113293	81.4148756367474	552.058151679595	560.2225	0.0371715420917199	
Bac16.2	0.239137646008869	0.00186397788936359	0.00345193531400332	1403.99541058631	200.799585597124	352.849319064304	363.445	0.0201615761680602	
Bac73	0.239009375095026	0.00105361766292789	0.00969090282691332	559.272466599519	71.5255526693504	554.566674839624	561.385	0.0355664637793253	
X2PL.2	0.23763893736903	0.000531816142215468	0.0106187439152472	574.453016544785	65.2758166212739	547.837596305794	554.515	0.0377970335691451	
Bac16	0.236114635597136	0.000244114437925573	0.00449580262648227	1528.84851540676	154.176514884573	319.093009288945	331.135	0.0200337622324166	
UC	0.234540851829658	0.000178325442672434	0.0142948263676423	502.350574837638	48.4893738988639	557.643441960441	565.045	0.0441042884200925	
X6PL.2	0.233635332440277	0.00121534364123401	0.00993110774186787	528.99629115488	69.7955553978892	549.154836231315	556.525	0.0324495652853694	
Bac79.2	0.233092724064131	0.0127603216195992	0.00629446186965528	452.587830756464	110.120165140965	563.727292631543	565.6375	0.029034310217297	
Bac79	0.231261330251605	0.0142551416485902	0.0070852138479616	384.294429411531	97.830100182419	575.083552936783	575.9125	0.0309971262998254	
UC.2	0.229922213265656	0.00127803363144154	0.010231177839456	506.96453570929	67.7485223535906	545.488302050207	551.5225	0.038578801527057	
X6PL	0.225691660229519	0.00168228285270105	0.00931930206996375	524.882246076539	74.3775848616356	531.349243820234	538.405	0.0326335566377478	
Bac86.1	0.22374609924852	0.0078762899709584	0.00505899904172745	654.441419478292	137.012712365184	496.375670825117	498.145	0.026502435412296	
Bac80	0.22332665265661	0.00296783363858513	0.00886091407265328	486.115191491271	78.2252457112917	534.281100284495	539.665	0.0421623477592092	
Bac80.2	0.221997811980596	0.00921977804286344	0.00794547602542659	395.054815379371	87.2379676613183	550.467221254174	553.165	0.0368430537921733	
Bac92.1	0.220356192481403	0.0086056399209447	0.00765174408325351	418.596220038091	90.5868221699882	541.238351477702	542.3875	0.0335000867979572	
Bac86	0.219756919698597	0.00193765131334357	0.00722486462094727	653.602433565457	95.939123696558	488.996892954911	492.8125	0.0383196342958476	
UC.1	0.219377446159299	0.000517911430163743	0.0113621434758518	532.151453512008	61.0049663633542	515.019382012649	521.56	0.0388794987457741	
Bac86.2	0.21917801945181	0.00488714273725774	0.00544834853920766	693.921557416684	127.221519616795	478.23346686736	483.01	0.0279013396349575	
Bac80.1	0.218726266854457	0.00881598748211448	0.00770923318698794	411.209946429743	89.9113003521384	538.821985199064	541.1275	0.0355699753874447	
X4PL	0.215981612688038	0.0029886218433358	0.0103734801431373	411.28404742491	66.8191552878716	532.907138692784	536.4325	0.0353620947817726	
Bac16.1	0.214232837159577	0.000782153182797619	0.00376147359280347	1491.20028384848	184.275434469642	297.624124479795	303.8725	0.0135249262671323	
X6PL.1	0.197313407315247	0.00130697062653459	0.00887190567488252	564.753021743143	78.1283307060322	456.681464362142	461.995	0.0289029577156034	
X4PL.2	0.19359717102991	0.00329224159935984	0.00985663625019679	411.606850906444	70.3228934258487	477.537045301445	480.31	0.0339430161924587	
