k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma
Bac81	0.320703718994101	0.000967243771898593	0.00488459587631248	1210.93034540835	144.594815840343	533.956681920434	537.1	0.00829450787797549
Bac74	0.31149300145534	0.0012327391541447	0.00644474865771316	883.841213358541	108.3940460248	621.675991309732	630.37	0.0294344731707275
X1PL	0.303828085251207	9.94234518888959e-05	0.00765337027984682	1187.99326208948	96.3008353015384	514.068768636851	523.5925	0.0152859457925602
Bac88	0.288260605896562	0.00199267583963122	0.00993240431125537	521.587878149816	71.9238099591141	680.094343432527	687.1575	0.0378630859882919
Bac77	0.285047401129801	0.003447233104033	0.00559102882998393	845.026913419044	126.504523832008	579.475970156058	586.8125	0.0164679361833475
Bac7	0.281628324264601	0.00422848266678641	0.00768399111443234	652.131514212009	98.0355109485871	624.58446107882	631.022	0.0312533151132967
Bac89	0.274166301472497	0.00301312359395014	0.0050364482675266	1124.92703149611	140.579093804875	449.584374151619	454.63	0.00802718819900846
WT	0.271743366541853	0.00129152968927264	0.012754908338794	430.047580741568	55.7876789886429	667.54318193898	675.155	0.0416970437934367
Healthy	0.264659304472374	0.000562514012913895	0.0145453157609391	430.521934916748	48.4675598321063	650.066048737952	657.505	0.0476867087869631
Bac9	0.260553722179882	0.00342369451207106	0.0120719879845976	433.146503910788	63.7024499276008	637.861821995305	643.24375	0.0426555876182705
Bac18	0.25705637271774	0.00562273328053587	0.0107424657432995	386.161085561732	66.97645906798	640.293884134012	644.04	0.0444046954449178
Bac41	0.247363760483239	0.00614985374570631	0.00745051733798438	498.026858279584	93.0862605251409	588.436711998088	593.38	0.0416669277272179
X2PL	0.246707888932676	0.00115218505527934	0.0103056418470464	547.326596727063	68.6501180083886	575.572683639659	583.4075	0.0395973362149782
Bac83	0.24274337300438	0.0021897340891417	0.00805460279792066	590.255762127822	86.260865484264	555.533761309709	562.34	0.0290560361366731
Bac73	0.240788496965043	0.0024764401458752	0.00852339444302745	557.855267317956	82.3491737567674	558.853950751677	565.4475	0.0354774819460692
Bac79	0.239445889424935	0.0104192140832464	0.00725564930196987	440.926367599593	96.8643361329049	582.12125279983	584.8325	0.0315226244678703
Bac92	0.239390072685509	0.00630282989136525	0.00840336376875337	433.00011396911	82.8912640059294	584.870213052544	587.875	0.0384942584433566
Bac16	0.229828372921861	0.000963415170028929	0.00390307051109635	1474.68140328052	179.750511650446	323.188817611015	332.8175	0.017906754889203
UC	0.227946837084871	0.000658090168092574	0.0119627158943167	513.822188019645	59.0809542052696	539.383708674432	546.0425	0.0405208628976412
Bac80	0.221350243830555	0.00700119972118768	0.00817187442835594	430.793317766795	85.1248379082495	541.190102245911	544.6525	0.0381917923129424
Bac86	0.220893679466309	0.0049003613405199	0.00591073740062746	667.321803486811	120.057785226179	487.868676882463	491.3225	0.0309078031143671
X6PL	0.218880133328348	0.00140153237348988	0.00937410516223804	539.543852991521	74.1004903218524	512.39518147123	518.975	0.0313286932129068
X4PL	0.200067939841096	0.00484631280279058	0.00930833508159905	408.361255617325	75.7403187156507	493.893042613125	496.3975	0.032775903332152
blank	NA	NA	NA	NA	NA	NA	NA	NA
